period,total_minutes,productive_minutes,session_count,focus_score_pct,user_type,freq
2026-07-08,646.0,557.0,10,86.22,User1,D
2026-07-09,820.0,632.0,14,77.07,User1,D
2026-07-10,639.0,373.0,11,58.37,User1,D
2026-07-11,930.0,602.0,13,64.73,User1,D
2026-07-12,583.0,210.0,9,36.02,User1,D
2026-07-13,756.0,452.0,12,59.79,User1,D
2026-07-14,605.0,482.0,10,79.67,User1,D
2026-07-15,799.0,441.5,12,55.26,User1,D
2026-06-07,4494.0,3042.0,75,67.69,User1,W
2026-06-14,5095.0,3455.0,87,67.81,User1,W
2026-06-21,4211.0,2475.0,76,58.77,User1,W
2026-06-28,5740.0,2745.0,89,47.82,User1,W
2026-07-05,3958.0,2228.0,76,56.29,User1,W
2026-07-12,4866.0,3402.0,79,69.91,User1,W
2026-07-19,2160.0,1375.5,34,63.68,User1,W
2026-06-30,20873.0,12345.0,351,59.14,User1,ME
2026-07-31,9651.0,6377.5,165,66.08,User1,ME
2026-06-01,437.0,249.0,7,56.98,User2,D
2026-06-02,806.0,103.0,13,12.78,User2,D
2026-06-03,638.0,222.0,13,34.8,User2,D
2026-06-04,814.0,637.0,11,78.26,User2,D
2026-06-05,465.0,271.0,10,58.28,User2,D
2026-06-06,895.0,640.0,12,71.51,User2,D
2026-06-07,1128.0,469.0,18,41.58,User2,D
2026-06-08,1061.0,642.0,18,60.51,User2,D
2026-06-09,944.0,501.0,14,53.07,User2,D
2026-06-10,819.0,278.0,13,33.94,User2,D
2026-06-11,878.0,412.0,13,46.92,User2,D
2026-06-12,788.0,545.0,11,69.16,User2,D
2026-06-13,697.0,474.0,8,68.01,User2,D
2026-06-14,544.0,349.0,9,64.15,User2,D
2026-06-15,488.0,488.0,7,100.0,User2,D
2026-06-16,853.0,452.0,14,52.99,User2,D
2026-06-17,256.0,256.0,7,100.0,User2,D
2026-06-18,615.0,459.0,11,74.63,User2,D
2026-06-19,552.0,380.0,11,68.84,User2,D
2026-06-20,709.0,392.0,11,55.29,User2,D
2026-06-21,651.0,318.0,11,48.85,User2,D
2026-06-22,1045.0,712.0,16,68.13,User2,D
2026-06-23,480.0,461.0,6,96.04,User2,D
2026-06-24,761.0,441.0,13,57.95,User2,D
2026-06-25,639.0,354.0,12,55.4,User2,D
2026-06-26,444.0,444.0,8,100.0,User2,D
2026-06-27,537.0,426.0,8,79.33,User2,D
2026-06-28,565.0,239.0,10,42.3,User2,D
2026-06-29,429.0,209.0,9,48.72,User2,D
2026-06-30,581.0,461.0,9,79.35,User2,D
2026-07-01,772.0,599.0,15,77.59,User2,D
2026-07-02,1523.0,902.0,21,59.23,User2,D
2026-07-03,861.0,320.0,17,37.17,User2,D
2026-07-04,631.0,208.0,9,32.96,User2,D
2026-07-05,183.0,138.0,3,75.41,User2,D
2026-07-06,617.0,231.0,12,37.44,User2,D
2026-07-07,624.0,360.0,11,57.69,User2,D
2026-07-08,849.0,336.0,14,39.58,User2,D
2026-07-09,775.0,277.0,11,35.74,User2,D
2026-07-10,1116.0,413.0,16,37.01,User2,D
2026-07-11,504.0,137.0,8,27.18,User2,D
2026-07-12,601.0,326.0,11,54.24,User2,D
2026-07-13,589.0,321.0,12,54.5,User2,D
2026-07-14,494.0,313.0,9,63.36,User2,D
2026-07-15,688.75,382.75,14,55.57,User2,D
2026-06-07,5183.0,2591.0,84,49.99,User2,W
2026-06-14,5731.0,3201.0,86,55.85,User2,W
2026-06-21,4124.0,2745.0,72,66.56,User2,W
2026-06-28,4471.0,3077.0,73,68.82,User2,W
2026-07-05,4980.0,2837.0,83,56.97,User2,W
2026-07-12,5086.0,2080.0,83,40.9,User2,W
2026-07-19,1771.75,1016.75,35,57.39,User2,W
2026-06-30,20519.0,12284.0,333,59.87,User2,ME
2026-07-31,10827.75,5263.75,183,48.61,User2,ME
2026-06-01,459.0,441.0,8,96.08,User3,D
2026-06-02,598.0,434.0,14,72.58,User3,D
2026-06-03,715.0,313.0,11,43.78,User3,D
2026-06-04,452.0,345.0,10,76.33,User3,D
2026-06-05,445.0,166.0,8,37.3,User3,D
2026-06-06,379.0,158.0,5,41.69,User3,D
2026-06-07,1199.0,973.0,18,81.15,User3,D
2026-06-08,754.0,337.0,12,44.69,User3,D
2026-06-09,647.0,451.0,11,69.71,User3,D
2026-06-10,714.0,479.0,13,67.09,User3,D
2026-06-11,1053.0,799.0,16,75.88,User3,D
2026-06-12,1010.0,604.0,12,59.8,User3,D
2026-06-13,453.0,242.0,8,53.42,User3,D
2026-06-14,841.0,338.0,17,40.19,User3,D
2026-06-15,776.0,400.0,15,51.55,User3,D
2026-06-16,294.0,193.0,8,65.65,User3,D
2026-06-17,934.0,417.0,14,44.65,User3,D
2026-06-18,480.0,386.0,8,80.42,User3,D
2026-06-19,888.0,699.0,14,78.72,User3,D
2026-06-20,702.0,321.0,9,45.73,User3,D
2026-06-21,618.0,414.0,13,66.99,User3,D
2026-06-22,806.0,628.0,12,77.92,User3,D
2026-06-23,602.0,276.0,8,45.85,User3,D
2026-06-24,555.0,347.0,9,62.52,User3,D
2026-06-25,454.0,110.0,6,24.23,User3,D
2026-06-26,776.0,546.0,12,70.36,User3,D
2026-06-27,989.0,583.0,16,58.95,User3,D
2026-06-28,230.0,230.0,5,100.0,User3,D
2026-06-29,738.0,493.0,10,66.8,User3,D
2026-06-30,665.0,170.0,11,25.56,User3,D
2026-07-01,787.0,758.0,12,96.32,User3,D
2026-07-02,1245.0,665.0,19,53.41,User3,D
2026-07-03,470.0,22.0,8,4.68,User3,D
2026-07-04,403.0,181.0,8,44.91,User3,D
2026-07-05,492.0,348.0,9,70.73,User3,D
2026-07-06,734.0,397.0,12,54.09,User3,D
2026-07-07,1052.0,882.0,14,83.84,User3,D
2026-07-08,823.0,779.0,14,94.65,User3,D
2026-07-09,373.0,125.0,7,33.51,User3,D
2026-07-10,554.0,426.0,11,76.9,User3,D
2026-07-11,432.0,236.0,8,54.63,User3,D
2026-07-12,863.0,520.0,12,60.25,User3,D
2026-07-13,685.0,436.0,12,63.65,User3,D
2026-07-14,1144.0,615.0,18,53.76,User3,D
2026-07-15,835.75,614.75,17,73.56,User3,D
2026-06-07,4247.0,2830.0,74,66.64,User3,W
2026-06-14,5472.0,3250.0,89,59.39,User3,W
2026-06-21,4692.0,2830.0,81,60.32,User3,W
2026-06-28,4412.0,2720.0,68,61.65,User3,W
2026-07-05,4800.0,2637.0,77,54.94,User3,W
2026-07-12,4831.0,3365.0,78,69.65,User3,W
2026-07-19,2664.75,1665.75,47,62.51,User3,W
2026-06-30,20226.0,12293.0,333,60.78,User3,ME
2026-07-31,10892.75,7004.75,181,64.31,User3,ME
2026-06-01,655.0,464.0,13,70.84,User4,D
2026-06-02,680.0,261.0,8,38.38,User4,D
2026-06-03,630.0,482.0,9,76.51,User4,D
2026-06-04,538.0,252.0,9,46.84,User4,D
2026-06-05,464.0,464.0,7,100.0,User4,D
2026-06-06,489.0,170.0,9,34.76,User4,D
2026-06-07,416.0,363.0,10,87.26,User4,D
2026-06-08,655.0,216.0,11,32.98,User4,D
2026-06-09,515.0,172.0,9,33.4,User4,D
2026-06-10,608.0,508.0,9,83.55,User4,D
2026-06-11,359.0,0.0,5,0.0,User4,D
2026-06-12,428.0,386.0,7,90.19,User4,D
2026-06-13,549.0,230.0,12,41.89,User4,D
2026-06-14,138.0,95.0,5,68.84,User4,D
2026-06-15,289.0,125.0,6,43.25,User4,D
2026-06-16,338.0,166.0,6,49.11,User4,D
2026-06-17,529.0,490.0,9,92.63,User4,D
2026-06-18,724.0,229.0,12,31.63,User4,D
2026-06-19,569.0,440.0,15,77.33,User4,D
2026-06-20,332.0,224.0,7,67.47,User4,D
2026-06-21,786.0,643.0,11,81.81,User4,D
2026-06-22,646.0,435.0,10,67.34,User4,D
2026-06-23,729.0,356.0,9,48.83,User4,D
2026-06-24,773.0,412.0,13,53.3,User4,D
2026-06-25,593.0,367.0,8,61.89,User4,D
2026-06-26,869.0,662.0,15,76.18,User4,D
2026-06-27,547.0,517.0,10,94.52,User4,D
2026-06-28,641.0,261.0,9,40.72,User4,D
2026-06-29,597.0,204.0,8,34.17,User4,D
2026-06-30,673.0,472.0,13,70.13,User4,D
2026-07-01,626.0,169.0,12,27.0,User4,D
2026-07-02,434.0,360.0,9,82.95,User4,D
2026-07-03,734.0,451.0,13,61.44,User4,D
2026-07-04,766.0,331.0,10,43.21,User4,D
2026-07-05,439.0,304.0,13,69.25,User4,D
2026-07-06,322.0,171.0,6,53.11,User4,D
2026-07-07,1087.0,934.0,15,85.92,User4,D
2026-07-08,502.0,406.0,10,80.88,User4,D
2026-07-09,861.0,594.0,14,68.99,User4,D
2026-07-10,446.0,416.0,8,93.27,User4,D
2026-07-11,584.0,401.0,12,68.66,User4,D
2026-07-12,539.0,316.0,9,58.63,User4,D
2026-07-13,724.0,479.0,10,66.16,User4,D
2026-07-14,705.0,411.0,12,58.3,User4,D
2026-07-15,611.25,210.25,11,34.4,User4,D
2026-06-07,3872.0,2456.0,65,63.43,User4,W
2026-06-14,3252.0,1607.0,58,49.42,User4,W
2026-06-21,3567.0,2317.0,66,64.96,User4,W
2026-06-28,4798.0,3010.0,74,62.73,User4,W
2026-07-05,4269.0,2291.0,78,53.67,User4,W
2026-07-12,4341.0,3238.0,74,74.59,User4,W
2026-07-19,2040.25,1100.25,33,53.93,User4,W
2026-06-30,16759.0,10066.0,284,60.06,User4,ME
2026-07-31,9380.25,5953.25,164,63.47,User4,ME
2026-06-01,380.0,98.0,6,25.79,User5,D
2026-06-02,553.0,210.0,9,37.97,User5,D
2026-06-03,949.0,449.0,13,47.31,User5,D
2026-06-04,654.0,317.0,12,48.47,User5,D
2026-06-05,543.0,267.0,8,49.17,User5,D
2026-06-06,717.0,322.0,11,44.91,User5,D
2026-06-07,1039.0,263.0,19,25.31,User5,D
2026-06-08,719.0,362.0,11,50.35,User5,D
2026-06-09,691.0,355.0,12,51.37,User5,D
2026-06-10,162.0,16.0,4,9.88,User5,D
2026-06-11,587.0,359.0,14,61.16,User5,D
2026-06-12,987.0,516.0,15,52.28,User5,D
2026-06-13,681.0,352.0,12,51.69,User5,D
2026-06-14,578.0,408.0,11,70.59,User5,D
2026-06-15,1202.0,725.0,16,60.32,User5,D
2026-06-16,697.0,483.0,12,69.3,User5,D
2026-06-17,626.0,298.0,13,47.6,User5,D
2026-06-18,626.0,201.0,11,32.11,User5,D
2026-06-19,586.0,410.0,8,69.97,User5,D
2026-06-20,571.0,404.0,12,70.75,User5,D
2026-06-21,557.0,99.0,7,17.77,User5,D
2026-06-22,712.0,455.0,9,63.9,User5,D
2026-06-23,551.0,356.0,9,64.61,User5,D
2026-06-24,419.0,231.0,7,55.13,User5,D
2026-06-25,592.0,517.0,10,87.33,User5,D
2026-06-26,517.0,108.0,8,20.89,User5,D
2026-06-27,1080.0,625.0,15,57.87,User5,D
2026-06-28,1092.0,817.0,17,74.82,User5,D
2026-06-29,421.0,339.0,9,80.52,User5,D
2026-06-30,544.0,459.0,10,84.38,User5,D
2026-07-01,683.0,250.0,11,36.6,User5,D
2026-07-02,806.0,514.0,16,63.77,User5,D
2026-07-03,502.0,427.0,8,85.06,User5,D
2026-07-04,824.0,394.0,12,47.82,User5,D
2026-07-05,902.0,594.0,14,65.85,User5,D
2026-07-06,788.0,398.0,12,50.51,User5,D
2026-07-07,565.0,343.0,8,60.71,User5,D
2026-07-08,575.0,395.0,9,68.7,User5,D
2026-07-09,939.0,251.0,13,26.73,User5,D
2026-07-10,366.0,68.0,7,18.58,User5,D
2026-07-11,894.0,337.0,14,37.7,User5,D
2026-07-12,1142.0,419.0,18,36.69,User5,D
2026-07-13,708.0,572.0,13,80.79,User5,D
2026-07-14,686.0,163.0,11,23.76,User5,D
2026-07-15,606.75,302.75,10,49.9,User5,D
2026-06-07,4835.0,1926.0,78,39.83,User5,W
2026-06-14,4405.0,2368.0,79,53.76,User5,W
2026-06-21,4865.0,2620.0,79,53.85,User5,W
2026-06-28,4963.0,3109.0,75,62.64,User5,W
2026-07-05,4682.0,2977.0,80,63.58,User5,W
2026-07-12,5269.0,2211.0,81,41.96,User5,W
2026-07-19,2000.75,1037.75,34,51.87,User5,W
2026-06-30,20033.0,10821.0,330,54.02,User5,ME
2026-07-31,10986.75,5427.75,176,49.4,User5,ME
